sch_deid,grade,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,asian_prop,black_prop,hisp_prop,white_prop,period,mean_orf,post
10001,1,AL,No,Title I targeted assistance school,100,312,0.142307692307692,0.06,0.14,0.09,0.61,y1_boy,30.5684210526316,0
10001,1,AL,No,Title I targeted assistance school,100,312,0.142307692307692,0.06,0.14,0.09,0.61,y1_moy,51.7878787878788,0
10001,1,AL,No,Title I targeted assistance school,100,312,0.142307692307692,0.06,0.14,0.09,0.61,y2_boy,26.0123456790123,1
10001,1,AL,No,Title I targeted assistance school,100,312,0.142307692307692,0.06,0.14,0.09,0.61,y2_moy,46.4588235294118,1
10001,2,AL,No,Title I targeted assistance school,105,312,0.0423076923076923,0.123809523809524,0.0857142857142857,0.0571428571428571,0.685714285714286,y1_boy,71.3207547169811,0
10001,2,AL,No,Title I targeted assistance school,105,312,0.0423076923076923,0.123809523809524,0.0857142857142857,0.0571428571428571,0.685714285714286,y1_moy,105.675925925926,0
10001,2,AL,No,Title I targeted assistance school,105,312,0.0423076923076923,0.123809523809524,0.0857142857142857,0.0571428571428571,0.685714285714286,y2_boy,71.0891089108911,1
10001,2,AL,No,Title I targeted assistance school,105,312,0.0423076923076923,0.123809523809524,0.0857142857142857,0.0571428571428571,0.685714285714286,y2_moy,97.7652173913043,1
10001,3,AL,No,Title I targeted assistance school,107,312,0.0423076923076923,0.0841121495327103,0.14018691588785,0.0560747663551402,0.654205607476636,y1_boy,102.934579439252,0
10001,3,AL,No,Title I targeted assistance school,107,312,0.0423076923076923,0.0841121495327103,0.14018691588785,0.0560747663551402,0.654205607476636,y1_moy,132.6,0
10001,3,AL,No,Title I targeted assistance school,107,312,0.0423076923076923,0.0841121495327103,0.14018691588785,0.0560747663551402,0.654205607476636,y2_boy,90.4907407407407,1
10001,3,AL,No,Title I targeted assistance school,107,312,0.0423076923076923,0.0841121495327103,0.14018691588785,0.0560747663551402,0.654205607476636,y2_moy,111.209523809524,1
10002,1,AL,No,Title I targeted assistance school,96,256,0.14921875,0.104166666666667,0.125,0.09375,0.583333333333333,y1_boy,34.0645161290323,0
10002,1,AL,No,Title I targeted assistance school,96,256,0.14921875,0.104166666666667,0.125,0.09375,0.583333333333333,y1_moy,62.2526315789474,0
10002,1,AL,No,Title I targeted assistance school,96,256,0.14921875,0.104166666666667,0.125,0.09375,0.583333333333333,y2_boy,32.5581395348837,1
10002,1,AL,No,Title I targeted assistance school,96,256,0.14921875,0.104166666666667,0.125,0.09375,0.583333333333333,y2_moy,50.8522727272727,1
10002,2,AL,No,Title I targeted assistance school,82,256,0.04921875,0.0609756097560976,0.24390243902439,0.0609756097560976,0.573170731707317,y1_boy,79.5432098765432,0
10002,2,AL,No,Title I targeted assistance school,82,256,0.04921875,0.0609756097560976,0.24390243902439,0.0609756097560976,0.573170731707317,y1_moy,118.111111111111,0
10002,2,AL,No,Title I targeted assistance school,82,256,0.04921875,0.0609756097560976,0.24390243902439,0.0609756097560976,0.573170731707317,y2_boy,68.1,1
10002,2,AL,No,Title I targeted assistance school,82,256,0.04921875,0.0609756097560976,0.24390243902439,0.0609756097560976,0.573170731707317,y2_moy,98.5714285714286,1
10002,3,AL,No,Title I targeted assistance school,78,256,0.04921875,0.0512820512820513,0.153846153846154,0.0512820512820513,0.666666666666667,y1_boy,95.6973684210526,0
10002,3,AL,No,Title I targeted assistance school,78,256,0.04921875,0.0512820512820513,0.153846153846154,0.0512820512820513,0.666666666666667,y1_moy,127.376623376623,0
10002,3,AL,No,Title I targeted assistance school,78,256,0.04921875,0.0512820512820513,0.153846153846154,0.0512820512820513,0.666666666666667,y2_boy,89.7368421052632,1
10002,3,AL,No,Title I targeted assistance school,78,256,0.04921875,0.0512820512820513,0.153846153846154,0.0512820512820513,0.666666666666667,y2_moy,121.8875,1
10003,1,AL,No,Title I targeted assistance school,74,239,0.0347280334728033,0.0540540540540541,0.121621621621622,0.0405405405405405,0.743243243243243,y1_boy,39.3888888888889,0
10003,1,AL,No,Title I targeted assistance school,74,239,0.0347280334728033,0.0540540540540541,0.121621621621622,0.0405405405405405,0.743243243243243,y1_moy,61.012987012987,0
10003,1,AL,No,Title I targeted assistance school,74,239,0.0347280334728033,0.0540540540540541,0.121621621621622,0.0405405405405405,0.743243243243243,y2_boy,30.0246913580247,1
10003,1,AL,No,Title I targeted assistance school,74,239,0.0347280334728033,0.0540540540540541,0.121621621621622,0.0405405405405405,0.743243243243243,y2_moy,42.9139784946237,1
10003,2,AL,No,Title I targeted assistance school,92,239,0,0.0440861256271922,0.130434782608696,0.141304347826087,0.641304347826087,y1_boy,86.3333333333333,0
10003,2,AL,No,Title I targeted assistance school,92,239,0,0.0440861256271922,0.130434782608696,0.141304347826087,0.641304347826087,y1_moy,122.273684210526,0
10003,2,AL,No,Title I targeted assistance school,92,239,0,0.0440861256271922,0.130434782608696,0.141304347826087,0.641304347826087,y2_boy,74.8271604938272,1
10003,2,AL,No,Title I targeted assistance school,92,239,0,0.0440861256271922,0.130434782608696,0.141304347826087,0.641304347826087,y2_moy,102.337837837838,1
10003,3,AL,No,Title I targeted assistance school,73,239,0,0.0958904109589041,0.0821917808219178,0.10958904109589,0.671232876712329,y1_boy,103.881578947368,0
10003,3,AL,No,Title I targeted assistance school,73,239,0,0.0958904109589041,0.0821917808219178,0.10958904109589,0.671232876712329,y1_moy,134.423076923077,0
10003,3,AL,No,Title I targeted assistance school,73,239,0,0.0958904109589041,0.0821917808219178,0.10958904109589,0.671232876712329,y2_boy,102.625,1
10003,3,AL,No,Title I targeted assistance school,73,239,0,0.0958904109589041,0.0821917808219178,0.10958904109589,0.671232876712329,y2_moy,130.042553191489,1
10004,1,AL,No,Title I targeted assistance school,124,418,0.0803827751196172,0.120967741935484,0.209677419354839,0.0564516129032258,0.516129032258065,y1_boy,30.6475409836066,0
10004,1,AL,No,Title I targeted assistance school,124,418,0.0803827751196172,0.120967741935484,0.209677419354839,0.0564516129032258,0.516129032258065,y1_moy,57.2276422764228,0
10004,1,AL,No,Title I targeted assistance school,124,418,0.0803827751196172,0.120967741935484,0.209677419354839,0.0564516129032258,0.516129032258065,y2_boy,36.8270676691729,1
10004,1,AL,No,Title I targeted assistance school,124,418,0.0803827751196172,0.120967741935484,0.209677419354839,0.0564516129032258,0.516129032258065,y2_moy,58.0729927007299,1
10004,2,AL,No,Title I targeted assistance school,138,418,0,0.0797101449275362,0.202898550724638,0.0869565217391304,0.594202898550725,y1_boy,81.2043795620438,0
10004,2,AL,No,Title I targeted assistance school,138,418,0,0.0797101449275362,0.202898550724638,0.0869565217391304,0.594202898550725,y1_moy,118.929078014184,0
10004,2,AL,No,Title I targeted assistance school,138,418,0,0.0797101449275362,0.202898550724638,0.0869565217391304,0.594202898550725,y2_boy,71.4778761061947,1
10004,2,AL,No,Title I targeted assistance school,138,418,0,0.0797101449275362,0.202898550724638,0.0869565217391304,0.594202898550725,y2_moy,105.529411764706,1
10004,3,AL,No,Title I targeted assistance school,156,418,0,0.134615384615385,0.185897435897436,0.0897435897435897,0.519230769230769,y1_boy,101.284768211921,0
10004,3,AL,No,Title I targeted assistance school,156,418,0,0.134615384615385,0.185897435897436,0.0897435897435897,0.519230769230769,y1_moy,132.473684210526,0
10004,3,AL,No,Title I targeted assistance school,156,418,0,0.134615384615385,0.185897435897436,0.0897435897435897,0.519230769230769,y2_boy,97.6666666666667,1
10004,3,AL,No,Title I targeted assistance school,156,418,0,0.134615384615385,0.185897435897436,0.0897435897435897,0.519230769230769,y2_moy,126.777777777778,1
10005,1,AL,No,Not a Title I school,143,407,0.1004914004914,0.104895104895105,0.202797202797203,0.0699300699300699,0.538461538461538,y1_boy,35.9022556390977,0
10005,1,AL,No,Not a Title I school,143,407,0.1004914004914,0.104895104895105,0.202797202797203,0.0699300699300699,0.538461538461538,y1_moy,65.1692307692308,0
10005,1,AL,No,Not a Title I school,143,407,0.1004914004914,0.104895104895105,0.202797202797203,0.0699300699300699,0.538461538461538,y2_boy,31.2982456140351,1
10005,1,AL,No,Not a Title I school,143,407,0.1004914004914,0.104895104895105,0.202797202797203,0.0699300699300699,0.538461538461538,y2_moy,48.1428571428571,1
10005,2,AL,No,Not a Title I school,136,407,0.000491400491400479,0.132352941176471,0.205882352941176,0.0367647058823529,0.566176470588235,y1_boy,83.3730158730159,0
10005,2,AL,No,Not a Title I school,136,407,0.000491400491400479,0.132352941176471,0.205882352941176,0.0367647058823529,0.566176470588235,y1_moy,114.763779527559,0
10005,2,AL,No,Not a Title I school,136,407,0.000491400491400479,0.132352941176471,0.205882352941176,0.0367647058823529,0.566176470588235,y2_boy,75.9710144927536,1
10005,2,AL,No,Not a Title I school,136,407,0.000491400491400479,0.132352941176471,0.205882352941176,0.0367647058823529,0.566176470588235,y2_moy,102.514084507042,1
